,Name,Resale,Lolibrary
1,AP Chocolate Rosette JSK+KC set in wine red Angelic Pretty,$275 ,https://lolibrary.org/items/ap-chocolate-rosette-jsk-2016
2,Little Dipper Cat Reaching For The Stars Original Embroidery OP,$75 ,https://lolibrary.org/items/taobao-little-dipper-cat-reaching-for-the-stars-original-embroidery-op
3,COME ON YOU KNOW YOU WANT TO BUY IT DAMN IT.,$53 ,http://lolibrary.org/apparel/pirate-alice-print-jsk-ii
4,Ribbon Mielche OP in Bordeaux by Victorian Maiden,$170 ,https://lolibrary.org/items/victorian-maiden-ribbon-mielche-op-2015
5,[FREE SHIPPING] Angelic Pretty Marshmallow Bunny OP in Sax ,€139,NA
6,Angelic Pretty Candy Sprinkle JSK + KC + OTK in Pink,$120 ,https://lolibrary.org/items/ap-candy-sprinkle-jsk-set
7,New with tags Stella OP in PINK,$350 ,NA
8,fancy paper dolls jsk and bow,$160 ,https://lolibrary.org/items/ap-lucky-pack-2014-fancy-paper-dolls-special-set
9,Laurence and Piano JSK,$36 ,NA
10,Jenny Cookies JSK Set ,$100 ,NA
11,Red Cake dress,$35 ,NA
12,On hold french cafe jsk&beret set,$200 ,https://lolibrary.org/items/ap-french-cafe-chest-ribbon-jsk
13,(reserved for goldilocks) MmM strapless JSK,€100,NA
14,BTSSB Kumya chan's Sugar Baby Icing Cookie JSK I,$85 ,https://lolibrary.org/items/btssb-kumya-chans-sugar-baby-icing-cookie-jsk-i
15,FREE US SHIPPING NWOT Angelic Pretty White Color Pearl Heart OP,$81 ,https://lolibrary.org/items/ap-color-pearl-heart-op
16,AP Lyrical Bunny Salopette - FREE US SHIPPING,$50 ,NA
17,Old School Metamorphose Front Shirring Short Sleeve Dress (Damaged),$50 ,NA
18,FREE SHIPPING Bodyline Love Jewelry JSK - Pink,$36 ,https://lolibrary.org/items/bodyline-love-jewelry-jsk-l345
19,Rare moi meme moitie sundress grey,$89 ,NA
20,Metamorphose - Sailor Print JSK,€40,NA
21,Anna House Black/White A-line OP,$30 ,NA
22,FREE US SHIPPING Faded Angelic Pretty Pink Cherry Berry Bunny Heart JSK,$67 ,https://lolibrary.org/items/ap-cherry-berry-bunny-heart-jsk
23,"L'ecrin votre gauche jsk I, missing button",$112 ,https://lolibrary.org/items/aatp-lecrin-de-votre-gauche-jsk-0
24,Cinema Doll JSK + Set in Ivory,$350 ,https://lolibrary.org/items/ap-cinema-doll-jsk
25,NWOT BTSSB Searching for Baroque JSK in Pink,$269 ,https://lolibrary.org/items/btssb-searching-for-baroque-jsk-0
26,[BTSSB] Usakumya-chan's Stylish Sweet Time Print Babydoll JSK in BLACK,€81,https://lolibrary.org/items/btssb-usakumya-chans-stylish-sweet-time-print-babydoll-jsk
27,Mercator Antique Shop Bustier Style JSK,$324 ,https://lolibrary.org/items/ap-mercator-antique-shop-bustier-style-jsk
28,FOR lolitababy ONLY equal temperament,$30 ,NA
29,Dream Sky JSK SET in Lavender,$220 ,https://lolibrary.org/items/ap-dream-sky-jsk-2013
30,FOR lolitababy ONLY equal temperament,$30 ,NA
31,DRESS ON HOLD,$99 ,https://lolibrary.org/items/atelier-boz-nun-thierry-op
32,Angelic Pretty Jewel Ribbon Shirring JSK + KC,€190,https://lolibrary.org/items/ap-jewel-ribbon-shirring-jsk
33,Rococo Styled Corset JSK by Innocent World,€117,https://lolibrary.org/items/iw-rococo-styled-corset-jsk
34,Angelic Pretty fancy Lace Op ,€48,https://lolibrary.org/items/ap-fancy-lace-op
35,"L-2223	**Discolored, stained** BABY, THE STARS SHINE BRIGHT JSK pink",$35 ,NA
36,Angelic Pretty Blue Dress,$55 ,https://lolibrary.org/items/ap-21000-yen-original-print-lucky-bag
37,"L-2204	**Discolored, missing item** Innocent World Coat OP pink",$40 ,NA
38,BTSSB Kitty Kitty Rhapsody Apron Skirt,$35 ,https://lolibrary.org/items/btssb-kitty-kitty-rhapsody-apron-skirt
39,BTSSB Alice's Chess Print Babydoll JSK,$60 ,https://lolibrary.org/items/btssb-alices-chess-print-babydoll-jsk
40,starry JSK (GLOW IN THE DARK),$60 ,NA
41,Innocent World Gargoyles of Notre-Dame de Paris Waist Lace Pink JSK,$72 ,https://lolibrary.org/items/iw-gargoyles-of-notre-dame-de-paris-waist-lace-jsk
42,Etoile Twins Bustier JSK & hb,€106,https://lolibrary.org/items/ap-etoile-twins-bustier-jsk
43,Innocent World Planisphere Collar JSK in Black,$171 ,https://lolibrary.org/items/iw-planisphere-collar-jsk
44,Alice and the Pirates Wicked Princess Set,$550 ,https://lolibrary.org/items/aatp-wicked-princesss-long-op
45,starry JSK (GLOW IN THE DARK),$60 ,NA
46,Little Bears Cafe,$130 ,https://lolibrary.org/items/ap-little-bears-cafe-jsk
47,Holy Lantern OP RESERVED,$120 ,NA
48,"Lyre Ivy Guerilla Cats OP, Dark Green Size Medium",$135 ,NA
49,"Cherry Marguerite Special Set w/ 2 Additional CIips & OTKs, Lavender",$250 ,https://lolibrary.org/items/ap-cherry-marguerite-special-op-set
50,Memorial Cake OP w/ Socks,$150 ,https://lolibrary.org/items/ap-memorial-cake-op
51,Angelic Pretty Toy Parade + Bow in Pink,$127 ,NA
52,IW Takarano Arika English Garden OP,$90 ,https://lolibrary.org/items/iw-takarano-arika-english-garden-op
53,IW Leopolda OP with bow and OTKs ,$136 ,https://lolibrary.org/items/iw-leopolda-op
54,Precious Clove JSK + Headbow,$75 ,NA
55,Btssb Clockwork Tea Party JSK *FREE SHIPPING*,$150 ,NA
56,Soufflesong Byzantine Stained Glass Jsk,$50 ,https://lolibrary.org/items/taobao-soufflesong-byzantine-stained-glass-long-jsk
57,Angelic Pretty Magic Amulet wine OP+Headdress,€220,NA
58,Angelic Pretty Dreamy Horoscope sax blue OP,€100,NA
59,Victorian Maiden Nooble Lady JSK,€110,NA
60,Eternal Rose Bouquet Mini Sleeve & Bonnet,$175 ,https://lolibrary.org/items/ap-eternal-rose-bouquet-mini-sleeve-jsk
61,BTSSB Cherry Rendezvous JSK,$93 ,https://lolibrary.org/items/btssb-cherry-rendezvous-baby-cherry-start-of-a-romance-jsk-i
62,Angelic Pretty Candy Fun Fair Sailor Salopette - Black,£75,NA
63,MmM Moi même moitié light ivory jsk,€85,NA
64,Dress Chess Chocolate Princess OP pink (Free Worldwide Shipping),$250 ,https://lolibrary.org/items/ap-chess-chocolate-princess-op-set
65,ALTERED Grove Deer Stardust,$63 ,NA
66,IW: Lotta Jsk + Headbow Set,$264 ,NA
67,Cheval de Bois  - The Forbidden Forest long OP,$80 ,NA
68,Innocent World Union Jack Just Waist JSK with free crown ,£125,https://lolibrary.org/items/iw-union-jack-just-waist-jsk
69,starry JSK (GLOW IN THE DARK),$60 ,NA
70,Atelier Pierrot Blue Eden Corset OP + crown headband  *FREE SHIPPING*,$60 ,NA
71,Mesh JSK in red,$40 ,NA
72,AATP Rosy Night Masquerade JSK1 in Black,$130 ,NA
73,Juliette et Justine Le Cadre du Chat JSK size 2,£167,https://lolibrary.org/items/j-et-j-le-cadre-du-chat-jsk
74,Mi Song Painting Quarted Jsk,$54 ,NA
75,Drained Cherry OP Set black,$195 ,NA
76,Promenade du Paris OP and Headbow set mint,$140 ,NA
77,Moi-meme-Moitie - Chandelier lace OP,$120 ,NA
78,Triple*fortune Muguet Dress,€199,NA
79,Triple*fortune Fairies Dress - LIMITED EDITION,€210,NA
80,Dessert Collection JSK + Bonnet Angelic  Pretty ,€70,https://lolibrary.org/items/ap-dessert-collection-half-bonnet
81,（HOLD）Angel Hearts JSK ,$100 ,NA
82,Angelic Pretty Magic Princess -ON HOLD UNTIL END OF JANURARY-,$121 ,NA
83,Haenuli The Librarian Lady mesh JSK in size S,£114,NA
84, Innocent World Tiered Doll JSK in Ivory,$110 ,https://lolibrary.org/items/iw-tiered-doll-jsk
85,Little Dipper Cats & Stars OP SHORT VERSION,$60 ,NA
86,FREE Worldwide shipping Diamond Honey hospital bunny JSK Black SET,$115 ,NA
87,BTSSB Enchanted ~Under the Candy Magic Spell~ Gelato JSK + Matching Tights,NA,https://lolibrary.org/items/btssb-enchanted-under-the-candy-magic-spell-gelato-jsk
88,ANP Starlit Sky Tent and the Secret Circus Troupe JSK II,NA,https://lolibrary.org/items/aatp-starlit-sky-tent-and-the-secret-circus-troupe-jsk-ii
89,Baby TSSB Closed in the Playing Cards ~Bitter Sweet Memories~ Jumperskirt II Pink,NA,http://lolibrary.org/apparel/closed-playing-cards-bitter-sweet-memories-jumperskirt-ii
90,Emily Temple Cute Biscuit Print JSK,NA,https://lolibrary.org/items/emily-temple-cute-biscuit-print-skirt
91,IW off white solid ribbon JSK,NA,NA
92,R-Series Ribbon Cookie JSK (Type A),NA,https://lolibrary.org/items/taobao-r-series-ribbon-cookies-jsk-type-a
93,Leur Getter - Rabbit and Trump JSK,NA,NA
94,"*REDUCED* White Astronomy Map OP ""trade available"" ",NA,http://lolibrary.org/apparel/white-astronomy-map-op
95,"Wonder Gallery SP set ""trade available"" ",NA,http://lolibrary.org/apparel/wonder-gallery-special-jsk-set
96,Bodyline Valentine Letters mint M + Headbow,$18 ,NA
97,NWT angelic pretty creamy cherry OP,NA,NA
98,Innocent World Gargoyles of Notre-Dame de Paris Waist Lace JSK,$72 ,https://lolibrary.org/items/iw-gargoyles-of-notre-dame-de-paris-waist-lace-jsk
99,Metamorphose Tartan Check Tiered JSK ,NA,https://lolibrary.org/items/meta-tartan-check-tiered-jsk
100,Magic Night Museum Open Front Jumperskirt NWT,NA,https://lolibrary.org/items/taobao-neverland-lolita-night-at-the-magic-museum-open-front-jsk
101,"Fanplusfriend Silent Hill OP, hairbow, cage skirt, and shorts set",NA,NA
102,sweetest chocolate party JSK in brown,NA,NA
103,Sweet Pirate Adiction Rose JSK in red chifon,NA,NA
104,starry JSK (GLOW IN THE DARK),$60 ,NA
105,[FREE US SHIPPING] NWT Infanta Rose Cathedral OP,NA,https://lolibrary.org/items/taobao-infanta-rose-cathedral-chiffon-op
106,Psyche - Adoring Gentleman JSK,NA,NA
107,[FREE SHIPPING] Infanta Strawberry Print JSK + KC,NA,NA
108,Angelic Pretty Milky Planet salopette in sax,$160 ,NA
109,(Free shipping worldwide) [NWT] Lotta Revival - Innocent World ,$318 ,https://lolibrary.org/items/iw-revival-lotta-jsk
110,Victorian Queen Bustier and Skirt set (Black),NA,NA
111,BPN Jacquard Embroidered JSK,NA,NA
112,Kumya Chan’s Sugar Baby Icing Cookie JSK I,NA,https://lolibrary.org/items/btssb-kumya-chans-sugar-baby-icing-cookie-jsk-i
113,Jane Marple Back Ribbon OP,NA,NA
114,Jane Marple op,NA,NA
115,Victorian Maiden Antique Rose Doll Puff Sleeve Dress,$243 ,https://lolibrary.org/items/victorian-maiden-antique-rose-puff-sleeve-op-2015
116,Baby the stars shine bright Cherry Cherry Fallin' Cherry Frill JSK in Mint,NA,https://lolibrary.org/items/btssb-cherry-cherry-fallin-cherry-frill-jsk
117,Angelic pretty Whip Show Case Tiered JSK in Sax,NA,https://lolibrary.org/items/ap-whip-show-case-tiered-jsk
118,(Free Shipping USA) AatP Queen of Snow and the Magic of Whiteness JSK II,NA,http://lolibrary.org/apparel/queen-snow-and-magic-whiteness-jsk-ii
119,Angelic Pretty - Wonder Story Round JSK,NA,https://lolibrary.org/items/ap-wonder-story-round-jsk
120,Alice and the Pirates - Sheherazade ~ One Thousand and One Nights ~jumper skirt Ⅰ,NA,https://lolibrary.org/items/aatp-scheherazade-one-thousand-and-one-nights-jsk-i
121,Angelic Pretty - Toy March,NA,https://lolibrary.org/items/ap-toy-march-jsk
122,Angelic Pretty - Menuet Bouquet JSK,NA,https://lolibrary.org/items/ap-menuet-bouquet-jsk
123,Emily Temple Cute - Knitting & Jewelry Print OP ,NA,https://lolibrary.org/items/emily-temple-cute-knitting-jewelry-print-op
124,Angelic Pretty - Strawberry Millefeuille JSK (free socks),NA,https://lolibrary.org/items/ap-strawberry-millefeuille-jsk
125,[RESERVED FOR galaxy_milk] Angelic Pretty Heavenly Cross Special Set - red jsk+headbow,$260 ,NA
126,Moi Meme Moitie Printed Tweed JSK - Long,NA,https://lolibrary.org/items/moitie-printed-tweed-jsk-long
127,Excentrique Corset JSK (bordeaux),NA,NA
128,Innocent World - Glitter Seraphim JSK w/ travel pouch,NA,https://lolibrary.org/items/iw-glitter-seraphim-jsk
129,BTSSB 2004 pink Tartan Check set,NA,NA
130,Baroque Pearl Drops on the Dry Flower JSK and headdress,$35 ,https://lolibrary.org/items/indie-pearl-drops-on-the-dry-flower-jsk
131,Angelic Pretty Polka Dot Chocolate Special Set(Free shipping in USA),$57 ,NA
132,Bodyline Strawberry Shortcake JSK in Mint - M,$21 ,NA
133,"White Moon Black Dragon Qi Lolita Dress, size S",NA,NA
134,"White Moon White Dragon Qi Lolita Dress, Cape, and Purse Set - size S",NA,NA
135,BRAND NEW To Alice OP Dress,$35 ,NA
136,Angelic Pretty Crystal Dream Carnival SET,NA,http://lolibrary.org/apparel/crystal-dream-carnival-jsk
